HUD frame time nsec:,16031000

Range Index,Elapsed Time, First Event,Last Event
0,6912,2,2
1,8288,7,7
2,29056,57,57
3,18976,95,95
4,736,149,149
5,736,210,210
6,832,213,213
7,704,220,220
8,704,223,223
9,800,230,230
10,736,233,233
11,10455136,255,255
